TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target
14.089999999999975,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,3
376.24,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,2
126.29000000000002,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.3500000000004,0
184.5,Debit,Raleigh,Online,26.0,Student,25.0,1.0,8569.06,3
92.15000000000003,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.6800000000003,0
7.079999999999984,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,3
171.42,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,2
106.23000000000002,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,2
815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8799999999997,0
17.779999999999973,Credit,Albuquerque,Online,52.0,Engineer,58.99999999999999,1.0,7599.52,1
190.02,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,0
494.52,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,0
781.76,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.6899999999996,0
166.99,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.9300000000003,2
465.45,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,1
555.8,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.2600000000002,1
492.93,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,1
18.680000000000007,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.37,1
71.48000000000002,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,1
59.31999999999999,Debit,Los Angeles,Branch,71.0,Retired,38.0,1.0,5750.89,2
85.76999999999998,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,2
345.84,Debit,Fort Worth,Online,21.999999999999996,Student,142.0,3.0,1402.5,2
145.54,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,3
7.490000000000009,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,2
246.93,Debit,Miami,ATM,23.0,Student,158.0,5.0,673.3500000000004,0
40.31999999999999,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,0
127.44999999999999,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,2
56.170000000000016,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,2
28.310000000000002,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,0
59.12000000000003,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,1
396.45,Debit,New York,ATM,49.0,Engineer,168.0,3.0,9690.15,0
877.81,Debit,Los Angeles,Online,21.999999999999996,Student,150.0,1.0,399.0,2
255.26,Credit,San Francisco,Branch,45.0,Doctor,50.0,1.0,14815.87,3
124.75999999999999,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,3
78.13,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.6099999999997,0
795.31,Debit,Mesa,ATM,66.0,Doctor,90.0,2.0,7914.88,0
335.63,Debit,Oklahoma City,Online,55.0,Retired,216.0,1.0,1019.3899999999994,0
328.47,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,3
34.01999999999998,Debit,Philadelphia,Online,38.0,Doctor,19.000000000000014,1.0,14214.48,0
241.42,Credit,Charlotte,Online,57.0,Doctor,116.0,1.0,13357.02,1
55.319999999999965,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.78999999999996,3
304.31,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.6099999999997,2
164.49,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,1
510.24,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.6999999999998,0
626.9,Debit,Denver,Online,26.0,Student,138.0,1.0,265.5100000000002,1
425.34,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.54,2
85.43,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,3
169.5,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8800000000001,3
104.63,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,0
316.95,Debit,Mesa,Branch,25.000000000000004,Student,83.0,1.0,1324.0299999999997,0
60.53999999999999,Credit,Columbus,Branch,57.0,Retired,52.0,1.0,3534.93,1
292.56,Credit,Dallas,Branch,68.0,Retired,61.0,1.0,4638.37,1
386.52,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,2
112.07,Debit,Kansas City,Branch,23.0,Student,51.0,1.0,930.3000000000002,2
263.99,Debit,Dallas,Branch,79.0,Retired,227.0,2.0,4175.02,1
349.64,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,2
601.4,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,0
5.769999999999982,Debit,Charlotte,Online,50.0,Doctor,124.0,1.0,13988.12,1
201.33,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,0
298.42,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,2
521.06,Debit,Albuquerque,Branch,25.000000000000004,Student,128.0,1.0,1951.42,1
117.28,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,1
133.55,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.28,1
143.21,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,1
24.769999999999982,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,1
233.92,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,2
1212.51,Debit,Indianapolis,Branch,20.0,Student,24.0,1.0,605.9499999999998,2
91.53,Debit,Milwaukee,Branch,44.0,Doctor,69.0,1.0,14676.05,0
120.29000000000002,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.3900000000003,0
174.25,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,3
183.71000000000004,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.5200000000004,1
922.55,Debit,Detroit,ATM,63.0,Retired,87.0,1.0,4715.84,2
259.91,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,1
154.71,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.7200000000003,3
1340.19,Credit,Austin,Online,54.0,Engineer,30.0,1.0,8654.28,1
24.560000000000002,Debit,Mesa,Branch,64.0,Doctor,69.0,1.0,9869.93,0
9.610000000000014,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,3
392.96,Debit,Kansas City,Online,24.0,Student,100.0,1.0,791.6499999999996,2
716.93,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,0
223.85,Debit,Kansas City,ATM,53.0,Engineer,55.0,4.0,2929.91,2
230.66,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.0500000000002,2
644.1700000000001,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,3
508.68,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,0
858.63,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,3
25.360000000000014,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.03999999999996,2
147.62,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,1
115.02000000000001,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,3
383.37,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,2
196.16,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,3
129.94,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.92,2
306.9,Debit,Colorado Springs,Online,46.0,Engineer,51.0,1.0,9418.08,1
114.98000000000002,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,3
756.59,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.64999999999964,3
503.76,Debit,Los Angeles,Online,21.999999999999996,Student,35.0,1.0,447.8199999999997,2
143.03,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.45,3
254.37,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,1
213.76,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,1
327.86,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.15999999999985,2
2.499999999999943,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,3
300.08,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,1
56.97999999999999,Credit,Oklahoma City,ATM,43.0,Engineer,122.0,2.0,5688.37,0
115.82999999999998,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,2
53.56999999999999,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,2
63.34,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,2
331.65,Debit,Portland,Online,41.0,Engineer,61.0,1.0,4172.57,0
5.0400000000000205,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,3
214.54,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,2
598.81,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,0
841.28,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.6399999999999,3
38.14999999999998,Debit,Mesa,Online,26.0,Student,108.0,1.0,303.6800000000003,0
1036.66,Debit,San Antonio,Branch,58.0,Doctor,144.0,1.0,5541.57,3
124.72,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,0
302.45,Credit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,3
208.04,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,2
5.769999999999982,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.9700000000007,2
381.33,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,1
16.160000000000025,Debit,Milwaukee,ATM,50.0,Doctor,124.0,1.0,14401.17,0
486.08,Debit,Oklahoma City,Online,18.0,Student,68.0,1.0,1748.69,0
